english_word,twi_word,part_of_speech
,Eno,Definite article/Pronoun/Adjective/Conjunction/adverb
Adjective.,Edin Nkyerekyeremu,noun
Adverb.,Okyerefuo,noun
Advertise.,Dawuro,noun.
Africa/Black Nation.,Abibiman,noun
Africans/Black people.,Abibifuo,noun
Age.,Mfee,noun
Albino.,Ofiri,noun
All.,Nyinaa,"Adjective, noun"
Alphabet/Writing.,Ntweredee,noun
Alright/Okay.,Enee,adverb
And.,Na,conjunction (for connecting clauses and sentences)
Anger.,Abufuo,verb
April.,Oforisuo,noun
April.,Ebobira,noun
Area.,Beaee,noun
Argument.,Akyinnye,noun
Argument/Dispute.,Ntawantawa,noun
Argument/Squabble/Row.,Twemamentwe,noun
Arrest/Seize/Capture.,KyE,verb
Artificial intelligence.,Nipa adeye nyansa,noun
Artificial.,Dee efiri nipa,adjective
Ask/Consult/Request.,Bisa,verb
Attorney.,Kwaadubofuo,noun
August.,Dzifuu,noun
August.,Osanaa,noun
Bag.,Boto,noun
Banana.,Kwadu,noun
Base.,Nnyinasuo,noun
Be (am/is/are/was/were/been); Act.,Ye,verb
Be (am/is/are/was/were/been); Act.,Ye,verb
Be (am/is/are/was/were/been); Act.,Ye,verb
Bed.,Mpa,noun
Beetle.,Obankuo,noun
Bend/Flex.,Koa,verb
Big/Fat/Great/Large/Loud.,Kese,
Birth.,Wo,
Birth.,Wo,
Black.,Tuntum,adjective/noun
Blush/Shy.,Fere,Verb/Adjective
Boyfriend/Girlfriend.,Mpena,noun
Boyfriend/Girlfriend.,Mpena,noun
Breathe/Rest.,Home,verb
Bucket.,Bokiti,noun
Burn.,HyE,verb
Burn.,HyE,verb
Butterfly.,Afofanto,noun
Calabash.,Kora,noun
Car/Vehicle.,Ehyen,noun
Carpenter.,Dwomfuo,noun
Carry.,Soa,verb
Cassava.,Bankye,noun
Cat.,Agyinamoa,
Cat.,Agyinamoa,
Cattle.,Nantwie,
Caucasian.,Broni,noun
Chair.,akonnwa,noun
Chest.,Kokuo,
Chest.,Kokuo,
Chew/Lose.,We,
Chicken/Cock/Hen.,Akoko,noun
Chief or King.,Ohene,noun
Chief or King.,Ohene,noun
Child/Baby.,Abofra,noun
Child/Baby.,Abofra,noun
Chimpanzee.,Kontromfi,noun
Cholesterol.,Sradee,
Christmas.,Buronya,noun
Cigarette.,Taa,noun
Citizen.,Omanba,noun
Clap.,Nsambo,
Coconut.,Kube,
Colour/Color.,Ahosuo,noun
Complicated.,Wonworan,Adjective
Complicated.,Wonworan,Adjective
Computer programming.,Nkonta afidie nhyehyeee,noun
Computer.,Nkonta afidie,noun
Copper.,Kobere,noun
Council.,Agyina,noun
Counsel.,Afotuo,noun
Courage.,Akokuoduro,
Cripple.,Obubuafuo,noun
Curse.,Duabo,noun
Darkness/Gloom.,Esum,noun
Death.,Owuo,noun
December.,Mumu,noun
December.,Openimma,noun
Determination/Serious.,Anibere,noun
Dew,Bo,noun
Dew,Bo,noun
Die.,Wu,verb
Division/Verse/Section.,Nkyekyemu,noun.
Do you understand what I am saying.,Te asee,verb
Doctor/Physician.,Oyaresafuo,
Dog.,Okraman,noun
Door.,Epono,noun
Download.,Twe,verb
Dry.,Hata,verb
Eczema.,Ekoro,noun
Eight/8.,Nwotwe,number
Elephant.,Osono,noun
End/Ultimate.,Awiei,noun
Enema.,Asa,noun
Enema.,Asa,noun
Equal.,Koro,adjective
Evacuate/Fly.,Tu,verb
Evacuate/Fly.,Tu,verb
Evacuate/Fly.,Tu,verb
Evacuate/Fly.,Tu,verb
Evacuate/Fly.,Tu,verb
Eye.,Ani,noun
Fabric/Textile.,Etam,
Fabric/Textile.,Etam,
Face.,Anim,noun
Farewell.,Dote yie,noun
Fart/Flatulence.,Eta,noun
Father.,Agya,noun
Father.,Papa,noun
February.,Ogyefuo,noun
February.,Kwakwar,noun
Feces.,Ebeni,noun
Fetus.,Mogyatoa,noun
Fiction.,Anansesem,noun
Fight.,ko,verb
Fire ants.,Nkran,noun
Fire.,Ogya,noun
Fist.,Kuturuku,noun
Five/5.,Enum,number
Food.,Aduane,
Fool.,Kwasea,
Fool.,Kwasea,
Force.,Nhye,noun
Forgetfulness.,Awerefire,noun
Forgive.,Fakye,verb
Fornication.,Adwaman,noun
Four/4.,Enan,number
Freedom.,Fawohodie,
Friday.,Fiada,
From/To from/Go away from.,Firi,
Fuck.,Di,
Fuck.,Di,
Full.,Ma,ADJECTIVE
Fungus.,Apotobibire,noun
Gamble.,Kyakya,verb
Game/Play.,Agoro,verb
Get/Achieve.,Nya,verb
Girl/Female/Woman.,Obaa,
God/Supreme Being.,Nyame,noun
Good Morning.,Maakye,noun
Good afternoon.,Maaha,noun
Good evening.,Maadwo,noun
Goodbye.,Nante yie,noun
Gravity.,Asaseduru,noun
Greed/Selfishness.,Pesemenkomenya,noun
Greed/Selfishness.,Pesemenkomenya,noun
Greet.,Kyea,verb
Grill.,Ho,verb
Grill.,Ho,verb
Grill.,Ho,verb
Grow.,Nyini,verb
Grow.,Nyini,verb
Half.,Fa,Number (nasal)
Half.,Fa,Number (nasal)
Half.,Fa,Number (nasal)
Half.,Fa,Number (nasal)
Hand.,Nsa,noun
Happiness/Joy.,Anigye,noun
Happy New Year/Happy anniversary.,Afehyiapa,noun
Harlot/Prostitute.,Odwamanfuo,noun
Have.,Wo,verb
Headache.,Tipaee,noun
